Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
30000.0,2015-02-05,debt_consolidation,649.0,6.51%,980xx,WA,< 1 year,0.0
25000.0,2015-07-09,Debt consolidation,,37.55%,765xx,TX,,0.0
25000.0,2018-09-11,Debt consolidation,,56.68%,184xx,PA,< 1 year,0.0
1400.0,2017-07-18,car,,8.12%,625xx,IL,,0.0
2500.0,2015-04-14,Credit card refinancing,,7.52%,212xx,MD,,0.0
39000.0,2017-04-13,major_purchase,,1.86%,853xx,AZ,< 1 year,0.0
20000.0,2015-04-25,debt_consolidation,,45.56%,633xx,MO,< 1 year,0.0
4000.0,2016-08-30,credit_card,,2.19%,287xx,NC,< 1 year,0.0
10000.0,2017-07-11,car,,21.11%,972xx,OR,1 year,0.0
6000.0,2018-02-07,Credit card refinancing,,2.69%,916xx,CA,< 1 year,0.0
20000.0,2014-10-27,credit_card,711.0,30.18%,174xx,PA,5 years,0.0
12000.0,2017-03-07,debt_consolidation,,35.16%,741xx,OK,< 1 year,0.0
20000.0,2016-02-24,debt_consolidation,655.0,38.45%,940xx,CA,< 1 year,0.0
8000.0,2018-07-12,Other,,21.98%,112xx,NY,< 1 year,0.0
40000.0,2017-11-06,Debt consolidation,,100%,301xx,GA,< 1 year,0.0
10000.0,2016-05-11,debt_consolidation,,17.57%,980xx,WA,< 1 year,0.0
15000.0,2017-03-16,home_improvement,,35.45%,863xx,AZ,< 1 year,0.0
15000.0,2017-09-20,Debt consolidation,670.0,36.73%,749xx,OK,,0.0
3500.0,2017-11-03,Home buying,652.0,13.17%,488xx,MI,< 1 year,0.0
5000.0,2016-11-28,home_improvement,,51.05%,951xx,CA,< 1 year,0.0
20000.0,2015-03-19,debt_consolidation,,9.48%,014xx,MA,< 1 year,0.0
8000.0,2014-07-03,Credit card refinancing,722.0,14.52%,980xx,WA,,0.0
1000.0,2017-04-04,Other,719.0,100%,368xx,AL,< 1 year,0.0
6000.0,2017-03-06,Other,537.0,15.93%,138xx,NY,< 1 year,0.0
4000.0,2018-10-01,Debt consolidation,,32.26%,761xx,TX,< 1 year,0.0
2000.0,2018-02-14,Debt consolidation,,37.55%,469xx,IN,< 1 year,0.0
30500.0,2018-06-02,Debt consolidation,,4.46%,666xx,KS,< 1 year,0.0
25000.0,2017-08-21,Debt consolidation,,7.46%,604xx,IL,9 years,0.0
18500.0,2017-05-15,Debt consolidation,638.0,64.64%,430xx,OH,< 1 year,0.0
10000.0,2018-05-29,Debt consolidation,,21.47%,723xx,AR,< 1 year,0.0
35000.0,2018-05-16,Other,,11.32%,907xx,CA,10+ years,0.0
3000.0,2018-03-01,Vacation,,33.52%,968xx,HI,< 1 year,0.0
2000.0,2017-03-14,other,,15.47%,956xx,CA,5 years,0.0
26000.0,2018-08-07,Debt consolidation,,9.44%,780xx,TX,< 1 year,0.0
20000.0,2017-04-25,Debt consolidation,684.0,39.73%,070xx,NJ,< 1 year,0.0
8000.0,2018-07-16,Debt consolidation,,4.19%,231xx,VA,< 1 year,0.0
8000.0,2016-12-28,Debt consolidation,646.0,20.63%,968xx,HI,< 1 year,0.0
8000.0,2017-05-25,debt_consolidation,,14%,321xx,FL,< 1 year,0.0
3000.0,2015-03-20,debt_consolidation,,0.15%,349xx,FL,< 1 year,0.0
15000.0,2017-12-07,Other,731.0,26.32%,365xx,AL,< 1 year,0.0
20000.0,2015-09-29,other,,9.07%,100xx,NY,< 1 year,0.0
15000.0,2017-06-22,Debt consolidation,597.0,22.62%,988xx,WA,< 1 year,0.0
20000.0,2012-04-27,other,727.0,6.22%,936xx,CA,< 1 year,0.0
35000.0,2011-09-20,small_business,711.0,36.59%,346xx,FL,< 1 year,0.0
10000.0,2018-08-29,Debt consolidation,,569.91%,640xx,MO,< 1 year,0.0
5000.0,2017-11-21,Other,630.0,32.24%,720xx,AR,< 1 year,0.0
1000.0,2014-03-14,home_improvement,550.0,2.1%,990xx,WA,< 1 year,0.0
24550.0,2016-12-28,Car financing,746.0,100%,852xx,AZ,< 1 year,0.0
15000.0,2018-05-12,Debt consolidation,,64.93%,104xx,NY,< 1 year,0.0
40000.0,2018-01-20,Credit card refinancing,,19.99%,853xx,AZ,< 1 year,0.0
15000.0,2018-08-28,Debt consolidation,,39.6%,601xx,IL,< 1 year,0.0
35000.0,2013-07-07,debt_consolidation,661.0,53.87%,078xx,NJ,< 1 year,0.0
5000.0,2018-05-01,Home buying,,0%,452xx,OH,< 1 year,0.0
1000.0,2018-07-26,Other,,23.57%,750xx,TX,< 1 year,0.0
10000.0,2017-08-10,home_improvement,,3.75%,615xx,IL,< 1 year,0.0
10000.0,2017-02-07,major_purchase,,131.79%,088xx,NJ,< 1 year,0.0
11000.0,2012-09-13,medical,0.0,0%,212xx,MD,< 1 year,0.0
30000.0,2014-08-06,debt_consolidation,616.0,39.25%,917xx,CA,< 1 year,0.0
1000.0,2017-09-18,Credit card refinancing,627.0,2.08%,410xx,KY,< 1 year,0.0
2000.0,2014-08-12,house,,-1%,423xx,KY,< 1 year,0.0
8000.0,2016-07-05,debt_consolidation,,42.74%,912xx,CA,< 1 year,0.0
20000.0,2016-05-01,other,,31.68%,776xx,TX,< 1 year,0.0
5000.0,2014-11-19,small_business,568.0,23.18%,066xx,CT,< 1 year,0.0
15000.0,2015-12-23,debt_consolidation,680.0,0%,551xx,MN,< 1 year,0.0
3000.0,2017-10-25,Debt consolidation,,100%,113xx,NY,< 1 year,0.0
6000.0,2016-09-13,debt_consolidation,,37.93%,953xx,CA,5 years,0.0
2000.0,2017-07-12,Debt consolidation,528.0,8.79%,212xx,MD,< 1 year,0.0
15000.0,2016-02-04,debt_consolidation,,21.75%,327xx,FL,5 years,0.0
15000.0,2015-11-24,debt_consolidation,,42.61%,407xx,KY,,0.0
4000.0,2018-08-16,Car financing,,9.85%,752xx,TX,2 years,0.0
5000.0,2017-08-18,Debt consolidation,603.0,10.05%,166xx,PA,< 1 year,0.0
11000.0,2018-04-26,Credit card refinancing,,100%,038xx,NH,< 1 year,0.0
5000.0,2017-11-05,Debt consolidation,686.0,52.76%,481xx,MI,< 1 year,0.0
35000.0,2017-06-30,Debt consolidation,704.0,51.82%,802xx,CO,< 1 year,0.0
20000.0,2018-12-02,Credit card refinancing,,4.22%,913xx,CA,3 years,0.0
14000.0,2013-06-08,New Start,695.0,27.49%,245xx,VA,2 years,0.0
25000.0,2016-08-14,debt_consolidation,,51.82%,431xx,OH,< 1 year,0.0
4000.0,2018-02-21,Other,,14.89%,405xx,KY,< 1 year,0.0
25000.0,2016-02-10,debt_consolidation,,55.32%,674xx,KS,5 years,0.0
10000.0,2018-07-17,Debt consolidation,643.0,178.45%,325xx,FL,< 1 year,0.0
5000.0,2017-11-20,Debt consolidation,618.0,11.2%,713xx,LA,< 1 year,0.0
1000.0,2013-10-30,debt_consolidation,636.0,5.78%,367xx,AL,< 1 year,0.0
5000.0,2017-05-19,debt_consolidation,,17.19%,952xx,CA,< 1 year,0.0
22000.0,2016-03-16,credit_card,616.0,31.51%,662xx,KS,< 1 year,0.0
10000.0,2016-11-21,debt_consolidation,,16.93%,191xx,PA,< 1 year,0.0
27500.0,2018-02-01,Debt consolidation,,3.35%,411xx,KY,< 1 year,0.0
